Shot Number,Scan Number,Score,x,y
"1","1","9.8","-0.39","-2.77"
"2","1","7.1","-4.58","-8.44"
"3","1","6.2","11.61","-2.62"
"4","1","5.7","3.51","-12.63"
"5","1","4.5","-13.21","-9.20"
"6","2","9.2","-1.81","4.02"
"7","2","6.9","-8.51","-5.62"
"8","2","6.4","-8.95","-7.09"
"9","2","5.7","-5.64","-11.88"
"10","2","2.4","-15.27","14.98"
"11","3","7.3","-9.03","-1.93"
"12","3","7.2","-6.60","6.53"
"13","3","6.0","-8.37","9.03"
"14","3","6.0","9.07","-8.48"
"15","3","1.9","-2.19","-22.41"
