Shot Number,Scan Number,Score,x,y
"1","1","8","16.08","-4.75"
"2","1","8","-17.77","-3.72"
"3","2","10","-0.22","4.91"
"4","2","8","-15.96","-11.87"
"5","3","10","3.31","5.53"
"6","3","8","-15.82","6.26"
"7","4","9","4.41","8.81"
"8","4","9","8.75","-8.34"
"9","5","10*","-2.31","-0.07"
"10","5","10","-0.03","-4.93"
"11","6","9","7.31","-7.91"
"12","6","7","25.41","9.89"
"13","7","10","-5.81","0.41"
"14","7","8","0.96","22.63"
"15","8","10","-4.00","2.97"
"16","8","10","-0.17","-6.23"
"17","9","10*","-1.26","1.15"
"18","9","10","0.21","-7.46"
"19","10","10","3.70","-5.39"
"20","10","9","-8.81","-1.71"
"21","11","9","7.60","7.39"
"22","11","9","10.10","7.98"
"23","12","10*","-2.32","-1.20"
"24","12","9","-3.06","9.25"
"25","13","10*","-1.17","-0.44"
"26","13","9","-7.64","-4.12"
"27","14","10*","-0.20","-2.75"
"28","14","8","-8.59","-22.18"
"29","15","10","-6.20","-2.46"
"30","15","9","0.28","9.83"
"31","16","10","-7.64","-0.02"
"32","16","9","-9.55","-4.66"
"33","17","9","-3.90","-9.14"
"34","17","9","5.00","-9.58"
"35","18","9","-5.81","-7.69"
"36","18","9","-13.32","-8.05"
"37","19","10","-6.67","-3.98"
"38","19","8","11.65","14.27"
"39","20","10","5.48","-4.39"
"40","20","10","-3.94","6.94"
"41","21","10*","-3.09","-0.14"
"42","21","10","-4.48","-5.66"
"43","22","9","7.36","6.13"
"44","22","9","-8.24","-10.35"
"45","23","10","0.85","-4.90"
"46","23","9","14.24","0.10"
"47","24","10","5.16","3.50"
"48","24","9","-2.57","10.79"
"49","25","10*","4.13","0.91"
"50","25","8","14.87","16.21"
"51","26","10","-4.42","-2.08"
"52","26","9","5.29","12.85"
"53","27","10*","2.70","0.52"
"54","27","9","-13.04","-7.06"
"55","28","9","-12.82","-5.62"
"56","28","8","-11.42","-11.88"
"57","29","9","2.14","10.86"
"58","29","5","37.38","-15.33"
"59","30","10*","-2.83","-0.40"
"60","30","9","10.71","-4.23"
