Shot Number,Scan Number,Score,x,y
"1","1","10*","1.24","-0.66"
"2","1","10*","-0.39","1.36"
"3","1","10*","0.76","-3.09"
"4","1","10","-0.68","-4.82"
"5","1","10","-1.86","6.37"
"6","1","10","-5.47","-4.75"
"7","1","10","4.17","-6.29"
"8","1","10","-3.92","6.95"
"9","1","9","7.19","4.45"
"10","1","9","1.38","14.02"
"11","2","10*","-1.49","-1.23"
"12","2","10","-2.53","-4.21"
"13","2","10","-1.42","6.06"
"14","2","10","4.54","-4.47"
"15","2","10","-4.43","-4.83"
"16","2","10","6.31","-4.32"
"17","2","10","-0.90","-7.85"
"18","2","9","9.91","3.11"
"19","2","9","-7.53","-8.88"
"20","2","8","3.36","19.15"
"21","3","10*","2.51","1.15"
"22","3","10*","-0.73","-4.07"
"23","3","10","-6.47","1.45"
"24","3","10","-2.98","-6.21"
"25","3","9","-0.29","-8.78"
"26","3","9","-6.17","6.67"
"27","3","9","-3.96","-8.63"
"28","3","9","-7.64","6.53"
"29","3","8","-18.17","-5.32"
"30","3","8","21.35","1.15"
"31","4","10*","-0.55","-2.19"
"32","4","10*","-3.41","1.42"
"33","4","10*","-3.67","-1.53"
"34","4","10","5.85","1.12"
"35","4","10","1.29","6.27"
"36","4","10","-3.64","-6.46"
"37","4","10","-7.32","-1.60"
"38","4","9","6.74","-5.72"
"39","4","9","0.33","10.61"
"40","4","9","-11.44","-8.37"
"41","5","10*","-2.57","-0.35"
"42","5","10*","-2.77","2.38"
"43","5","10","-5.00","1.46"
"44","5","10","5.16","-4.40"
"45","5","10","-3.89","6.42"
"46","5","10","-4.92","-6.09"
"47","5","9","9.94","-2.12"
"48","5","9","9.80","3.33"
"49","5","9","-8.31","-9.92"
"50","5","9","-2.36","-15.69"
"51","6","10*","2.72","1.52"
"52","6","10","-1.33","6.08"
"53","6","9","9.34","-0.39"
"54","6","9","-6.77","-7.53"
"55","6","9","8.09","6.45"
"56","6","9","-9.86","-3.19"
"57","6","9","-6.70","8.22"
"58","6","9","8.09","10.42"
"59","6","9","12.58","6.08"
"60","6","8","18.54","5.57"
