Shot Number,Scan Number,Score,x,y
"1","1","10","-5.17","2.36"
"2","1","10","-2.15","7.29"
"3","1","9","8.89","0.67"
"4","1","9","8.30","-5.29"
"5","1","9","8.89","-4.63"
"6","1","9","-8.55","-6.61"
"7","1","9","9.18","6.26"
"8","1","9","12.86","-5.95"
"9","1","9","10.21","10.53"
"10","1","8","-15.84","-2.86"
"11","2","10*","2.36","2.43"
"12","2","10*","-1.97","3.16"
"13","2","10*","3.68","1.25"
"14","2","10","0.58","5.36"
"15","2","10","-7.80","-1.55"
"16","2","9","8.91","4.56"
"17","2","9","-6.99","-9.05"
"18","2","9","0.00","11.84"
"19","2","9","6.11","12.07"
"20","2","7","-26.93","-9.49"
"21","3","10*","1.96","-0.84"
"22","3","10*","0.37","2.74"
"23","3","10*","-2.97","-1.58"
"24","3","10*","0.71","4.46"
"25","3","10","-7.90","0.48"
"26","3","9","5.20","-7.10"
"27","3","9","7.48","6.74"
"28","3","9","-5.47","8.80"
"29","3","8","-16.58","-9.45"
"30","3","8","-11.94","16.67"
"31","4","10*","0.82","-1.15"
"32","4","10*","1.86","0.34"
"33","4","10*","1.86","1.33"
"34","4","10*","-0.42","2.25"
"35","4","10*","1.30","2.04"
"36","4","10*","1.18","-3.21"
"37","4","10*","0.63","3.54"
"38","4","10","4.31","-2.54"
"39","4","10","-3.79","-5.92"
"40","4","9","-8.50","-4.45"
"41","5","10*","0.41","2.11"
"42","5","10*","-2.39","-3.78"
"43","5","10","-3.47","5.85"
"44","5","10","-3.49","6.01"
"45","5","10","-7.10","-1.13"
"46","5","9","1.15","-9.81"
"47","5","9","1.44","12.48"
"48","5","9","2.62","-13.49"
"49","5","9","-0.77","-13.93"
"50","5","8","-14.60","-7.46"
"51","6","10*","-1.64","-2.32"
"52","6","10","2.48","-5.41"
"53","6","10","-5.76","3.27"
"54","6","10","5.94","3.64"
"55","6","10","-6.35","-3.06"
"56","6","9","-5.76","5.92"
"57","6","9","3.22","8.13"
"58","6","9","-8.70","-3.65"
"59","6","9","9.33","-6.96"
"60","6","8","13.45","-10.34"
