Shot Number,Scan Number,Score,x,y
"1","1","10*","-0.19","1.18"
"2","1","10*","0.99","0.89"
"3","1","10*","0.72","2.15"
"4","1","10*","1.38","1.87"
"5","1","10*","1.28","3.98"
"6","1","10","-7.55","-0.58"
"7","1","10","-5.93","-5.29"
"8","1","9","-7.33","9.20"
"9","1","9","-15.64","0.67"
"10","1","8","2.02","17.22"
"11","2","10*","0.23","1.18"
"12","2","10","2.80","-4.78"
"13","2","10","-7.06","0.59"
"14","2","10","0.45","-7.13"
"15","2","10","-1.83","-7.57"
"16","2","9","-4.85","6.55"
"17","2","9","-4.11","-9.19"
"18","2","9","10.60","1.48"
"19","2","9","-5.58","11.71"
"20","2","8","1.99","-17.95"
"21","3","10*","-0.73","2.68"
"22","3","10*","1.18","-2.76"
"23","3","10*","-2.65","3.12"
"24","3","10*","4.42","-0.26"
"25","3","10","1.62","5.18"
"26","3","10","-0.15","-6.22"
"27","3","9","-7.43","2.98"
"28","3","9","-12.66","0.03"
"29","3","9","-12.07","-4.38"
"30","3","9","-9.42","-12.18"
"31","4","10*","-0.84","-3.82"
"32","4","10*","-1.27","-3.89"
"33","4","9","-5.49","6.29"
"34","4","9","-5.20","7.90"
"35","4","9","4.15","9.01"
"36","4","9","-5.20","-9.17"
"37","4","9","-5.20","9.38"
"38","4","9","-7.70","-7.70"
"39","4","9","-11.01","1.94"
"40","4","9","-9.61","-8.58"
"41","5","10*","2.34","3.63"
"42","5","10","0.79","-6.01"
"43","5","10","-4.73","-3.80"
"44","5","10","-2.96","5.99"
"45","5","10","6.02","4.96"
"46","5","9","-2.52","8.20"
"47","5","9","-2.81","9.67"
"48","5","9","-8.11","-7.11"
"49","5","9","12.27","-3.95"
"50","5","8","14.04","15.04"
"51","6","10*","1.14","-1.02"
"52","6","10*","4.53","0.90"
"53","6","10","-1.95","-5.58"
"54","6","10","-5.18","-3.52"
"55","6","10","-5.77","5.46"
"56","6","9","2.91","8.47"
"57","6","9","-7.69","8.25"
"58","6","9","-7.76","-11.98"
"59","6","9","-12.62","-8.45"
"60","6","8","-19.53","4.87"
