Shot Number,Scan Number,Score,x,y
"1","1","10*","1.20","-0.61"
"2","1","10*","2.82","0.19"
"3","1","10*","3.69","2.92"
"4","1","10","6.87","1.35"
"5","1","10","6.20","4.61"
"6","1","9","8.04","-2.97"
"7","1","9","3.11","-12.61"
"8","1","9","3.85","12.56"
"9","1","9","3.55","-15.40"
"10","1","9","12.72","-9.60"
"11","2","10*","2.61","1.30"
"12","2","10","1.22","7.26"
"13","2","10","-6.30","-4.64"
"14","2","9","3.13","-8.19"
"15","2","9","11.08","-3.85"
"16","2","9","-3.27","11.46"
"17","2","9","4.89","14.03"
"18","2","9","-3.22","14.68"
"19","2","9","-3.64","-15.40"
"20","2","8","-13.35","10.94"
"21","3","10*","-2.86","1.29"
"22","3","10*","-3.74","0.85"
"23","3","10*","-1.68","3.80"
"24","3","10","5.46","-0.99"
"25","3","9","-2.93","-9.74"
"26","3","9","1.78","10.34"
"27","3","9","4.94","-10.77"
"28","3","9","-11.17","5.41"
"29","3","8","0.31","-17.76"
"30","3","8","-16.25","-8.49"
"31","4","10*","-1.13","0.19"
"32","4","10*","0.63","-4.67"
"33","4","10","4.31","-3.34"
"34","4","10","-0.25","-5.99"
"35","4","10","-2.46","5.93"
"36","4","10","-6.43","2.98"
"37","4","9","-10.92","4.46"
"38","4","9","1.96","-13.20"
"39","4","9","14.39","-1.28"
"40","4","8","11.67","-18.13"
"41","5","10*","1.76","-0.42"
"42","5","10","4.41","-2.78"
"43","5","10","-5.30","1.05"
"44","5","10","-4.66","3.34"
"45","5","10","5.15","-4.39"
"46","5","9","-3.09","7.45"
"47","5","9","-10.67","1.49"
"48","5","9","-1.11","-11.02"
"49","5","9","-5.30","-13.67"
"50","5","8","-13.32","-13.00"
"51","6","10*","1.64","0.11"
"52","6","10*","-2.41","-1.79"
"53","6","10*","-1.48","-2.67"
"54","6","10*","1.42","-2.82"
"55","6","10*","0.09","-4.14"
"56","6","10","-2.26","6.53"
"57","6","9","-7.71","8.95"
"58","6","9","-13.89","-0.32"
"59","6","8","-4.32","-15.62"
"60","6","8","8.70","-14.08"
