C1,C11
C10,C2
C11,C1
C2,C10
C3,C9
C4,C8
C5,C7
C6,C6
C7,C5
C8,C4
C9,C3
D1,D3
D2,D2
D3,D1
E1,E1
J1,J1
J2,J2
N1,N1
R1,R13
R10,R4
R11,R3
R12,R2
R13,R1
R2,R12
R3,R11
R4,R10
R5,R9
R6,R8
R7,R7
R8,R6
R9,R5
RV1,RV1
TP1,TP8
TP2,TP7
TP3,TP6
TP4,TP5
TP5,TP4
TP6,TP3
TP7,TP2
TP8,TP1
U1,U8
U2,U7
U3,U6
U4,U5
U5,U4
U6,U3
U7,U2
U8,U1
X1,X1
XA1,XA1
